,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Srandakan,ID,82.26,overcast clouds,-7.9386,110.2506,Puri Brata
3,Victoria,HK,78.85,overcast clouds,22.2855,114.1577,Mini Central
4,Balagon,PH,81.03,overcast clouds,8.0063,123.2396,Casa maria molave
5,San Luis,AR,65.89,clear sky,-33.295,-66.3356,Huarpes Hotel
8,Mataura,NZ,73.17,overcast clouds,-46.1927,168.8643,Ellie's Villa
9,Vila Franca Do Campo,PT,65.19,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
12,Saint-Philippe,RE,69.39,scattered clouds,-21.3585,55.7679,Le four à pain
18,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
19,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
20,Atuona,PF,77.74,clear sky,-9.8,-139.0333,Villa Enata
23,Mahebourg,MU,71.89,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
24,Tomatlan,MX,70.81,broken clouds,19.9333,-105.25,El Salvial
26,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
27,Busselton,AU,67.51,clear sky,-33.65,115.3333,Observatory Guest House
35,Puerto Ayora,EC,70.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
38,Ambilobe,MG,71.13,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
41,Souillac,MU,71.98,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
44,San Carlos Del Zulia,VE,76.19,broken clouds,9.0,-71.9135,Hotel El Manantial
48,Dire,ML,80.24,overcast clouds,12.2833,-10.9667, 
49,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
50,Rikitea,PF,74.93,overcast clouds,-23.1203,-134.9692,People ThankYou
52,Carnarvon,AU,83.57,clear sky,-24.8667,113.6333,Hospitality Carnarvon
53,Luanda,AO,74.19,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
54,Rioja,AR,73.24,clear sky,-29.4111,-66.8507,Hotel Libertador
60,Hilo,US,75.25,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
64,Ca Mau,VN,84.42,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
68,Faanui,PF,78.69,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
72,Cidreira,BR,65.41,clear sky,-30.1811,-50.2056,Hotel Castelo
74,Kidal,ML,70.9,overcast clouds,18.4411,1.4078, 
75,Carutapera,BR,79.39,broken clouds,-1.195,-46.02,Lidera
76,Itarema,BR,79.29,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
77,Kantang,TH,77.09,mist,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
83,Wau,SS,72.16,overcast clouds,7.7029,27.9953,Universal Gab Hotel
85,Lodja,CD,67.42,overcast clouds,-3.4833,23.4333, 
86,Gamba,GA,75.9,overcast clouds,-2.65,10.0, 
89,Sinnamary,GF,78.57,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
92,Airai,TL,76.8,broken clouds,-8.9266,125.4092, 
94,Cabo San Lucas,MX,76.3,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
95,Georgetown,MY,78.73,light rain,5.4112,100.3354,Cititel Penang
96,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
97,Cuamba,MZ,70.77,overcast clouds,-14.8031,36.5372,Hotel Vision
99,Dicabisagan,PH,81.95,light rain,17.0818,122.4157,Nancy Montanes Bernardo
101,Cayenne,GF,80.64,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
102,Tondano,ID,78.89,overcast clouds,1.3038,124.9112,Villa Bella
103,Port Macquarie,AU,79.9,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
105,San Miguel,SV,80.2,few clouds,13.4833,-88.1833,Excalibur
114,Manokwari,ID,83.86,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
115,Butaritari,KI,80.51,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
116,Banda Aceh,ID,79.54,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
117,Geraldton,AU,84.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
120,Makakilo City,US,82.72,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
127,Mabaruma,GY,73.45,broken clouds,8.2,-59.7833,Monty Brooms Guest House
132,Aguimes,ES,75.67,clear sky,27.9054,-15.4461,Hotel Villa de Aguimes
133,Alice Springs,AU,74.75,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
136,San Mariano,PH,83.93,broken clouds,7.5,126.0,MASING (HOME)
141,Coari,BR,79.77,broken clouds,-4.085,-63.1414,Dellrey Hotel Center
143,Novo Aripuana,BR,79.83,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
144,Isangel,VU,84.31,few clouds,-19.55,169.2667,Tanna Lodge
146,Tuatapere,NZ,69.46,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
149,Arraial Do Cabo,BR,73.56,moderate rain,-22.9661,-42.0278,Pousada Porto Praia
151,Bambous Virieux,MU,71.85,broken clouds,-20.3428,57.7575,Casa Tia Villa
153,Pareora,NZ,67.17,scattered clouds,-44.4871,171.2132,"Kingsdown Suite, Timaru"
155,Point Pedro,LK,78.64,overcast clouds,9.8167,80.2333,Gtr homes
156,Numan,NG,72.86,clear sky,9.4667,12.0333,Zangun Motel
160,Kaitangata,NZ,68.02,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
161,Denpasar,ID,83.86,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta Dua
162,Arona,ES,70.39,clear sky,28.0996,-16.681,Paradise Court
165,Lagos,NG,79.12,overcast clouds,6.5833,3.75, 
166,Ponta Do Sol,PT,67.71,overcast clouds,32.6667,-17.1,Hotel do Campo
167,Carupano,VE,77.23,scattered clouds,10.6678,-63.2585,Hotel La dorada
169,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
174,Bulungu,CD,70.43,overcast clouds,-4.55,18.6,Maison MC Michel
176,Nizwa,OM,68.43,clear sky,22.9333,57.5333,Orient Apartments
177,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
178,Tessalit,ML,72.05,overcast clouds,20.1986,1.0114, 
180,Porto Walter,BR,74.68,moderate rain,-8.2686,-72.7439,Hotel Silva
181,Bilma,NE,65.34,few clouds,18.6853,12.9164,Expeditions Ténére voyages
182,Pisco,PE,66.25,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
187,Tsogni,GA,75.07,overcast clouds,-2.7942,10.0988, 
192,Amuntai,ID,77.29,overcast clouds,-2.4177,115.2494,Hotel Balqis
195,Bubaque,GW,83.3,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
197,San Cristobal,VE,71.78,broken clouds,7.7669,-72.225,Pirineos
198,Tual,ID,83.97,broken clouds,-5.6667,132.75,Grand Vilia Hotel
205,Casablanca,MA,69.33,broken clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
209,Tiznit,MA,67.3,clear sky,29.5833,-9.5, 
211,Tura,IN,67.8,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
212,Puerto Escondido,MX,83.23,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
213,Hervey Bay,AU,77.68,clear sky,-25.2986,152.8535,Shelly Bay Resort
215,Gat,IL,66.4,few clouds,31.61,34.7642,OlusHome
216,Saint-Leu,RE,70.32,few clouds,-21.15,55.2833,La Caz Oceane
217,Bengkulu,ID,79.54,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
218,Flinders,AU,72.18,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
221,Qingyuan,CN,73.38,broken clouds,23.7,113.0333,Guojin Commercial Hotel
222,Nicoya,CR,74.19,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
225,Matara,LK,74.77,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
228,Pedernales,DO,79.57,clear sky,18.0384,-71.744,Hotel Costa Marina
229,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
231,Lazaro Cardenas,MX,77.63,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
232,Ballina,AU,84.02,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
233,Yenagoa,NG,75.15,scattered clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
244,Lorengau,PG,84.87,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
245,San Juan Del Sur,NI,78.87,overcast clouds,11.2529,-85.8705,Nuestra Casa
246,Hithadhoo,MV,81.48,broken clouds,-0.6,73.0833,Scoop Guest House
249,High Rock,BS,71.62,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
250,Quatre Cocos,MU,71.71,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
251,Taquaritinga,BR,73.81,broken clouds,-21.4061,-48.5047,J M Hotel
254,Iturama,BR,74.46,overcast clouds,-19.7281,-50.1956,República DominaCana
257,Addanki,IN,72.88,overcast clouds,15.8167,79.9833,HONEY TIFFIN CENTER
259,Nisia Floresta,BR,77.81,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
260,Sibolga,ID,75.04,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
265,Kalmunai,LK,77.63,overcast clouds,7.4167,81.8167,VS Villa
268,Etchoropo,MX,74.41,overcast clouds,26.7667,-109.6667,Campo de Andrés cruz jusaino
277,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
278,Foumbot,CM,66.52,overcast clouds,5.5079,10.6356,HÔTEL ROYAL
279,Misratah,LY,68.02,clear sky,32.3754,15.0925,Almasa Hotel
280,Armidale,AU,66.22,few clouds,-30.5167,151.65,Abbotsleigh Motor Inn
283,Saint-Joseph,RE,68.38,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
288,La Palma,US,65.08,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
292,Palembang,ID,80.69,scattered clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
293,Sao Joao Da Barra,BR,74.88,heavy intensity rain,-21.6403,-41.0511,Pousada Porto De Canoas
295,Ranong,TH,80.53,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
297,Nago,JP,72.45,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
298,Kirakira,SB,83.84,scattered clouds,-10.4544,161.9205,SanBiz Lodge
300,Sancti Spiritus,CU,72.75,clear sky,21.9297,-79.4425,Hostal El Parque
302,Muswellbrook,AU,77.32,broken clouds,-32.2667,150.9,Wayfarer Motel
308,Boke,GN,76.53,overcast clouds,10.9409,-14.2967,Hôtel Rio Nunez - Boké
311,Venice,US,73.98,clear sky,27.0998,-82.4543,A Beach Retreat On Casey Key
313,Fomboni,KM,79.0,clear sky,-12.28,43.7425,Auberge les abou
314,Sao Filipe,CV,75.15,overcast clouds,14.8961,-24.4956,Hotel Xaguate
317,Mahibadhoo,MV,80.6,overcast clouds,3.7833,72.9667,Omadhoo Inn
319,Te Anau,NZ,65.52,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
320,Coahuayana,MX,74.37,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
322,Marsh Harbour,BS,78.66,clear sky,26.5412,-77.0636,Abaco Beach Resort
323,Oistins,BB,80.69,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
324,Richards Bay,ZA,67.89,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
327,Ler,SS,71.47,few clouds,8.3018,30.1418,Leer Humanitarian Hub
332,Sao Felix Do Xingu,BR,73.87,moderate rain,-6.6447,-51.995,Rio Xingu Camping
333,Moron,AR,66.96,clear sky,-34.6534,-58.6198,Hotel Morón
334,San Juan,AR,74.34,clear sky,-31.5375,-68.5364,Hotel Provincial
335,Grand Gaube,MU,72.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
337,Port Hedland,AU,84.25,broken clouds,-20.3167,118.5667,The Esplanade Hotel
344,Tlapehuala,MX,76.55,overcast clouds,18.2167,-100.5167,Iglesia del Dios vivocolumna y apollo de la verdad
345,Trinidad,BO,72.39,overcast clouds,-14.8333,-64.9,Hotel Piesta
346,Yulara,AU,77.63,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
347,Kroya,ID,83.16,overcast clouds,-7.6331,109.2461,Wisma Legoq Kost
349,Port Blair,IN,77.04,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
351,Padang,ID,77.05,moderate rain,-0.9492,100.3543,Mercure Padang
353,Saint-Pierre,RE,70.92,clear sky,-21.3393,55.4781,Alize Plage
354,Kaeo,NZ,67.3,broken clouds,-35.1,173.7833,Bushido Lodge
356,Caravelas,BR,76.15,light rain,-17.7125,-39.2481,Pousada dos Navegantes
359,The Valley,AI,80.1,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
360,Bangao,PH,71.58,scattered clouds,16.8211,120.8404,Mount Data Hotel
363,Dayong,CN,75.63,overcast clouds,25.0209,118.2898,Haiyue Express Hotel
365,Ippy,CF,68.4,broken clouds,6.2679,21.2247, 
369,Natal,BR,77.65,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
370,Brokopondo,SR,78.31,clear sky,4.75,-55.1667,Matu Island
372,Benguela,AO,71.06,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
375,Qui Nhon,VN,79.14,broken clouds,13.7667,109.2333,Seagull Hotel
377,La Peca,PE,69.17,light rain,-5.6111,-78.435,Hospedaje San Miguelito
378,Boffa,GN,72.5,light rain,10.1667,-14.0333,Hôtel Niara Belly
379,Mayor Pablo Lagerenza,PY,72.66,clear sky,-19.9309,-60.7718, 
381,Soyo,AO,76.15,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
385,Tautira,PF,79.03,light rain,-17.7333,-149.15,Pension Oaoa
386,Tabou,CI,76.41,moderate rain,4.423,-7.3528,hotêl doufoulougou
394,Biltine,TD,70.5,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
397,Corralillo,CU,77.49,moderate rain,22.9819,-80.5856,Hostal De Pedri
398,Los Llanos De Aridane,ES,74.12,clear sky,28.6585,-17.9182,Valle Aridane
400,Senanga,ZM,65.14,overcast clouds,-16.1167,23.2667,Zango lodge
402,Ouadda,CF,66.81,overcast clouds,8.0777,22.4007, 
408,Yarada,IN,68.32,mist,17.65,83.2667,Yarada Jungle Beach Resorts
411,Abu Zabad,SD,66.88,clear sky,12.35,29.25,حامد محمد نور
412,Sao Gabriel Da Cachoeira,BR,76.19,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
413,Borba,BR,82.09,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
415,Takoradi,GH,78.1,light rain,4.8845,-1.7554,Raybow International Hotel
416,Bonthe,SL,77.11,light rain,7.5264,-12.505,Bonthe Holiday Village
417,Ambovombe,MG,71.06,light rain,-25.1667,46.0833,RELAHARA
420,Nouadhibou,MR,69.78,clear sky,20.931,-17.0347,El Medina
425,Rawson,AR,68.36,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
428,Tete,MZ,75.29,broken clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
429,Itacare,BR,75.16,few clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
431,Bol,TD,76.42,clear sky,13.4586,14.7147,Harrouni camp de passage
440,San Rafael,AR,68.85,clear sky,-34.6177,-68.3301,Hotel San Rafael
441,San Juan De Abajo,MX,76.68,scattered clouds,20.8167,-105.1833,Lorenzo Anaya
443,Ewa Beach,US,84.15,clear sky,21.3156,-158.0072,Base Lodging
445,Waipawa,NZ,70.23,clear sky,-41.4122,175.5153,Tora Coastal Walk
446,Kilindoni,TZ,78.4,few clouds,-7.9139,39.6668,Bustani B&B
447,Cockburn Town,TC,81.23,clear sky,21.4612,-71.1419,Osprey Beach Hotel
448,Nichinan,JP,67.68,overcast clouds,31.6,131.3667,Guest House Aki
449,Kokopo,PG,84.85,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
450,Kavaratti,IN,80.15,overcast clouds,10.5669,72.642,Green leaf
451,Porbandar,IN,75.81,clear sky,21.6422,69.6093,Lords Inn Porbandar
452,Mount Isa,AU,83.97,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
462,Umm Kaddadah,SD,65.62,clear sky,13.6017,26.6876, 
463,Bulolo,PG,84.61,overcast clouds,-7.2,146.65,Pine Lodge Bulolo
465,Dalby,AU,82.98,clear sky,-27.1833,151.2667,Kobbers Motor Inn Dalby
466,Porto Novo,BJ,82.22,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
467,Adrar,MR,76.96,overcast clouds,20.5022,-10.0711, 
476,Byron Bay,AU,84.7,clear sky,-28.65,153.6167,Backpackers Inn
478,Dubbo,AU,68.13,scattered clouds,-32.25,148.6167,Quality Inn Dubbo International
481,Alexandria,EG,68.54,broken clouds,31.2156,29.9553,فندق قاعود
485,Lamu,KE,77.22,moderate rain,-2.2717,40.902,Lamu House
486,Riyadh,SA,68.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
488,Iracoubo,GF,79.09,few clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
489,Amapa,BR,73.38,clear sky,1.0,-52.0, 
490,Ishigaki,JP,78.93,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
492,Sawakin,SD,79.27,few clouds,19.1059,37.3321,فندق الدويم
493,Catamarca,AR,76.77,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
495,Roura,GF,80.51,few clouds,4.7263,-52.3274,Amazonie Découverte SARL
497,Pitimbu,BR,77.59,few clouds,-7.4706,-34.8086,Reserva do Abiaí
498,Wahiawa,US,80.92,scattered clouds,21.5028,-158.0236,The Inn At Schofield
501,Sri Aman,MY,78.85,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
507,Diego De Almagro,CL,65.3,clear sky,-26.3667,-70.05,hotel luna del desierto
508,Mitsamiouli,KM,77.86,few clouds,-11.3847,43.2844,Foyer ADM
516,Asfi,MA,67.26,overcast clouds,32.2994,-9.2372,Hôtel Abda
520,Jiwani,PK,78.42,clear sky,25.05,61.7417,Hooth Market
521,Anloga,GH,80.71,clear sky,5.7947,0.8973,Pin Drop Hotel
522,Guarapari,BR,76.89,moderate rain,-20.6667,-40.4975,Hotel Porto do Sol
524,Upata,VE,75.2,few clouds,8.0086,-62.3989,Posada Villa Nela
528,Kangaba,ML,75.15,broken clouds,11.9333,-8.4167,CAF (case de l´amitié et de la fraternité)
535,Celestun,MX,78.24,broken clouds,20.8667,-90.4,Posada Lilia
537,Gao,ML,70.59,few clouds,16.6362,1.637, 
538,Omboue,GA,74.84,overcast clouds,-1.5746,9.2618,Hotel Olako
546,Mogadishu,SO,78.4,light rain,2.0371,45.3438,Hotel Juba
547,Touros,BR,78.66,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
551,Harindanga,IN,68.79,clear sky,22.0383,88.3214,Hasanur Builders
553,Samarai,PG,84.81,overcast clouds,-10.6167,150.6667,Nuli Sapi
556,Kralendijk,BQ,82.38,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
557,Cururupu,BR,78.06,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
558,Vao,NC,74.71,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
559,San Carlos,VE,74.08,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
560,Belle Glade,US,75.06,clear sky,26.6845,-80.6676,Mid-City Trailer Park
561,Kaura Namoda,NG,68.0,overcast clouds,12.5898,6.5779,Moonlight Hotel
563,Umm Lajj,SA,77.07,clear sky,25.0213,37.2685,Moon light Furnished Units
564,Khipro,PK,70.05,scattered clouds,25.8285,69.3772,Wali M Dars Hottle
566,Les Cayes,HT,76.42,clear sky,18.2,-73.75,Villa Orphee
571,Labuhan,ID,84.65,overcast clouds,-6.8844,112.2051,DoubleFAG
573,Yako,BF,75.31,clear sky,12.9667,-2.2667,CADAAY
576,Veraval,IN,75.2,clear sky,20.9,70.3667,Lords Inn Somnath
579,Mormugao,IN,76.26,few clouds,15.4,73.8,Coconut Creek Resort
582,Ruteng,ID,76.03,scattered clouds,-8.6136,120.4721,Hotel FX 72
586,Pundaguitan,PH,83.08,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
591,Phibun Mangsahan,TH,80.58,few clouds,15.2447,105.2291,ซันนี่ รีสอร์ท
593,Bandarbeyla,SO,76.84,clear sky,9.4942,50.8122,JABIR HOTEL
595,Naze,JP,67.12,overcast clouds,28.3667,129.4833,Shishime Hotel
598,Kawalu,ID,78.03,overcast clouds,-7.3817,108.2082,West Jontor
599,Vilhena,BR,71.78,heavy intensity rain,-12.7406,-60.1458,Hotel Mirage
600,Todos Santos,MX,73.04,clear sky,23.45,-110.2167,Hotel California Todos Santos
613,Itoman,JP,73.42,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
614,Le Port,RE,71.26,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
617,Belmonte,BR,75.88,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
620,Pontes E Lacerda,BR,70.59,overcast clouds,-15.2261,-59.3353,Hotel Bressan
630,Singapore,SG,80.2,broken clouds,1.2897,103.8501,The Fullerton Hotel Singapore
631,Beloha,MG,74.16,overcast clouds,-25.1667,45.05, 
633,Quelimane,MZ,75.15,scattered clouds,-17.8786,36.8883,Hotel Flamingo
634,Doha,QA,78.78,clear sky,25.2867,51.5333,Mövenpick Doha
639,Gambela,ET,69.44,light rain,8.25,34.5833,Solomon Debebe Hotel
641,Ulladulla,AU,66.43,light rain,-35.35,150.4667,Sandpiper Motel
