City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Srandakan,ID,-7.9386,110.2506,82.26,75,100,1.81,overcast clouds
1,Saldanha,ZA,-33.0117,17.9442,59.05,87,7,8.01,clear sky
2,Saskylakh,RU,71.9167,114.0833,-18.81,95,92,6.04,overcast clouds
3,Victoria,HK,22.2855,114.1577,78.85,79,100,8.99,overcast clouds
4,Balagon,PH,8.0063,123.2396,81.03,69,100,2.98,overcast clouds
5,San Luis,AR,-33.295,-66.3356,65.89,36,0,9.33,clear sky
6,Leningradskiy,RU,69.3833,178.4167,-6.02,96,72,4.41,broken clouds
7,Severo-Kurilsk,RU,50.6789,156.125,34.9,90,93,30.42,light snow
8,Mataura,NZ,-46.1927,168.8643,73.17,39,98,3.98,overcast clouds
9,Vila Franca Do Campo,PT,37.7167,-25.4333,65.19,92,56,4.34,broken clouds
10,Nikolskoye,RU,59.7035,30.7861,33.8,97,100,7.9,snow
11,Bethel,US,41.3712,-73.414,36.93,66,0,1.99,clear sky
12,Saint-Philippe,RE,-21.3585,55.7679,69.39,68,39,12.68,scattered clouds
13,Provideniya,RU,64.3833,-173.3,30.31,55,100,13.42,overcast clouds
14,Sola,VU,-13.8833,167.55,86.67,70,2,0.0,clear sky
15,Lebu,CL,-37.6167,-73.65,54.55,92,20,0.58,few clouds
16,Ribeira Grande,PT,38.5167,-28.7,61.77,83,20,11.01,few clouds
17,Havre-Saint-Pierre,CA,50.2334,-63.5986,26.6,74,100,9.22,overcast clouds
18,Kapaa,US,22.0752,-159.319,82.38,72,40,14.97,scattered clouds
19,Oranjestad,AW,12.524,-70.027,82.35,87,20,11.5,few clouds
20,Atuona,PF,-9.8,-139.0333,77.74,76,4,14.9,clear sky
21,Kodiak,US,57.79,-152.4072,33.31,86,0,4.61,clear sky
22,Lavrentiya,RU,65.5833,-171.0,21.6,87,17,8.19,few clouds
23,Mahebourg,MU,-20.4081,57.7,71.89,60,75,8.05,broken clouds
24,Tomatlan,MX,19.9333,-105.25,70.81,91,57,1.12,broken clouds
25,Upernavik,GL,72.7868,-56.1549,23.52,86,100,14.52,overcast clouds
26,Vaini,TO,-21.2,-175.2,80.76,78,40,6.91,scattered clouds
27,Busselton,AU,-33.65,115.3333,67.51,44,0,7.54,clear sky
28,Esperance,AU,-33.8667,121.9,60.1,60,99,11.99,overcast clouds
29,Namibe,AO,-15.1961,12.1522,64.35,80,100,3.62,overcast clouds
30,Port Alfred,ZA,-33.5906,26.891,64.18,86,41,1.99,scattered clouds
31,Torbay,CA,47.6666,-52.7314,44.76,85,100,27.63,light intensity drizzle
32,Morehead,US,37.2711,-87.1764,40.95,79,97,6.55,overcast clouds
33,Ostrovnoy,RU,68.0531,39.5131,28.71,87,92,4.18,overcast clouds
34,Cape Town,ZA,-33.9258,18.4232,61.27,76,0,3.44,clear sky
35,Puerto Ayora,EC,-0.7393,-90.3518,70.56,85,67,5.01,broken clouds
36,Albany,US,42.6001,-73.9662,33.4,65,23,1.99,few clouds
37,Yellowknife,CA,62.456,-114.3525,27.12,100,100,17.27,light snow
38,Ambilobe,MG,-13.2,49.05,71.13,86,9,3.8,clear sky
39,Zhanaozen,KZ,43.3,52.8,38.1,75,68,12.03,broken clouds
40,Mwene-Ditu,CD,-7.0,23.45,63.66,97,100,2.44,overcast clouds
41,Souillac,MU,-20.5167,57.5167,71.98,60,75,8.05,broken clouds
42,Ushuaia,AR,-54.8,-68.3,47.86,81,0,4.61,clear sky
43,Khonsa,IN,27.0167,95.5667,64.96,55,0,1.21,clear sky
44,San Carlos Del Zulia,VE,9.0,-71.9135,76.19,86,83,4.81,broken clouds
45,Bluff,NZ,-46.6,168.3333,64.58,57,100,7.49,overcast clouds
46,Banepa,NP,27.6298,85.5214,48.52,93,20,3.44,mist
47,Tasiilaq,GL,65.6145,-37.6368,33.96,95,100,4.74,overcast clouds
48,Dire,ML,12.2833,-10.9667,80.24,49,100,1.99,overcast clouds
49,Avarua,CK,-21.2078,-159.775,77.05,61,69,13.8,broken clouds
50,Rikitea,PF,-23.1203,-134.9692,74.93,82,100,14.03,overcast clouds
51,Manavgat,TR,36.7867,31.4431,59.22,36,41,5.64,scattered clouds
52,Carnarvon,AU,-24.8667,113.6333,83.57,35,0,7.18,clear sky
53,Luanda,AO,-8.8368,13.2343,74.19,78,70,7.76,broken clouds
54,Rioja,AR,-29.4111,-66.8507,73.24,44,0,4.21,clear sky
55,Huarmey,PE,-10.0681,-78.1522,64.11,85,17,8.05,few clouds
56,Buala,SB,-8.145,159.5921,86.04,62,33,4.07,scattered clouds
57,Bredasdorp,ZA,-34.5322,20.0403,59.76,65,52,8.86,broken clouds
58,Kitob,UZ,39.0843,66.8332,47.62,41,45,2.19,scattered clouds
59,Dudinka,RU,69.4058,86.1778,-30.8,99,31,2.15,scattered clouds
60,Hilo,US,19.7297,-155.09,75.25,88,75,5.75,moderate rain
61,Shache,CN,38.4167,77.2406,34.84,39,0,0.49,clear sky
62,Jamestown,US,42.097,-79.2353,35.19,91,100,1.01,overcast clouds
63,Barrow,US,71.2906,-156.7887,6.82,78,0,16.11,clear sky
64,Ca Mau,VN,9.1769,105.15,84.42,74,93,13.11,overcast clouds
65,Jalu,LY,29.0331,21.5482,58.87,42,0,6.31,clear sky
66,Nome,US,64.5011,-165.4064,10.47,73,0,0.0,clear sky
67,Statesboro,US,32.4488,-81.7832,58.53,58,100,3.44,overcast clouds
68,Faanui,PF,-16.4833,-151.75,78.69,78,100,5.23,overcast clouds
69,Innisfail,AU,-17.5333,146.0333,85.19,59,83,9.04,broken clouds
70,Hermanus,ZA,-34.4187,19.2345,55.8,82,1,11.27,clear sky
71,Dobromir,RO,44.0167,27.7833,47.98,75,100,3.85,overcast clouds
72,Cidreira,BR,-30.1811,-50.2056,65.41,74,0,8.52,clear sky
73,Thompson,CA,55.7435,-97.8558,1.56,92,0,0.0,clear sky
74,Kidal,ML,18.4411,1.4078,70.9,18,93,10.58,overcast clouds
75,Carutapera,BR,-1.195,-46.02,79.39,77,52,9.71,broken clouds
76,Itarema,BR,-2.9248,-39.9167,79.29,77,39,13.73,scattered clouds
77,Kantang,TH,7.4054,99.5156,77.09,100,75,2.3,mist
78,New Norfolk,AU,-42.7826,147.0587,47.91,83,100,1.99,light rain
79,Bukan,IR,36.521,46.2089,39.88,57,0,5.21,clear sky
80,Chokurdakh,RU,70.6333,147.9167,-15.32,99,100,10.85,overcast clouds
81,Vardo,NO,70.3705,31.1107,35.58,93,100,18.41,light rain
82,Tuktoyaktuk,CA,69.4541,-133.0374,14.0,92,100,20.71,light snow
83,Wau,SS,7.7029,27.9953,72.16,38,98,3.71,overcast clouds
84,Holme,DK,56.1138,10.1725,49.57,88,11,10.74,few clouds
85,Lodja,CD,-3.4833,23.4333,67.42,98,100,1.5,overcast clouds
86,Gamba,GA,-2.65,10.0,75.9,86,96,7.23,overcast clouds
87,Punta Arenas,CL,-53.15,-70.9167,51.91,82,75,12.66,broken clouds
88,Kumylzhenskaya,RU,49.8809,42.5898,24.98,71,4,9.46,clear sky
89,Sinnamary,GF,5.3833,-52.95,78.57,86,11,10.92,few clouds
90,Khatanga,RU,71.9667,102.5,-8.79,97,100,14.36,overcast clouds
91,Tiksi,RU,71.6872,128.8694,-10.84,91,100,12.39,overcast clouds
92,Airai,TL,-8.9266,125.4092,76.8,52,54,1.99,broken clouds
93,Klaksvik,FO,62.2266,-6.589,49.12,88,100,34.0,light rain
94,Cabo San Lucas,MX,22.8909,-109.9124,76.3,68,0,12.66,clear sky
95,Georgetown,MY,5.4112,100.3354,78.73,95,20,2.3,light rain
96,Vila Velha,BR,-20.3297,-40.2925,76.95,88,75,11.01,broken clouds
97,Cuamba,MZ,-14.8031,36.5372,70.77,80,90,4.32,overcast clouds
98,Mashhad,IR,36.297,59.6062,39.34,75,0,4.61,clear sky
99,Dicabisagan,PH,17.0818,122.4157,81.95,78,41,5.53,light rain
100,Tanete,ID,-3.9443,119.7848,87.21,65,100,4.32,overcast clouds
101,Cayenne,GF,4.9333,-52.3333,80.64,83,0,4.61,clear sky
102,Tondano,ID,1.3038,124.9112,78.89,61,97,0.78,overcast clouds
103,Port Macquarie,AU,-31.4333,152.9167,79.9,50,26,11.56,scattered clouds
104,Fortuna,US,40.5982,-124.1573,50.67,90,0,8.05,clear sky
105,San Miguel,SV,13.4833,-88.1833,80.2,89,20,3.44,few clouds
106,Sitka,US,57.0531,-135.33,48.09,71,100,21.85,light rain
107,Liberal,US,37.0431,-100.921,20.44,93,20,6.91,few clouds
108,Beringovskiy,RU,63.05,179.3167,31.89,82,58,15.48,broken clouds
109,College,US,64.8569,-147.8028,28.08,94,100,3.44,light snow
110,Korla,CN,41.7597,86.1469,33.13,57,10,5.93,clear sky
111,Daimiel,ES,39.07,-3.615,58.08,86,100,11.68,overcast clouds
112,Shingu,JP,33.7333,135.9833,63.16,42,97,2.44,overcast clouds
113,Nanortalik,GL,60.1432,-45.2371,29.62,89,100,9.24,overcast clouds
114,Manokwari,ID,-0.8667,134.0833,83.86,72,93,6.2,overcast clouds
115,Butaritari,KI,3.0707,172.7902,80.51,81,35,10.25,scattered clouds
116,Banda Aceh,ID,5.5577,95.3222,79.54,82,100,12.3,overcast clouds
117,Geraldton,AU,-28.7667,114.6,84.61,17,0,20.71,clear sky
118,Port Elizabeth,ZA,-33.918,25.5701,62.89,88,0,12.66,clear sky
119,Sayyan,YE,15.1718,44.3244,45.91,45,0,3.8,clear sky
120,Makakilo City,US,21.3469,-158.0858,82.72,54,0,18.41,clear sky
121,Hobart,AU,-42.8794,147.3294,48.25,92,100,20.71,moderate rain
122,Port Hardy,CA,50.6996,-127.4199,39.38,100,100,2.3,overcast clouds
123,Shimoda,JP,34.6667,138.95,55.76,79,97,5.48,overcast clouds
124,Poltavka,RU,54.3663,71.7632,33.06,99,100,9.28,light snow
125,Norman Wells,CA,65.282,-126.8329,19.44,86,75,20.71,light snow
126,Hovd,MN,48.0056,91.6419,25.34,26,45,4.88,scattered clouds
127,Mabaruma,GY,8.2,-59.7833,73.45,98,60,2.71,broken clouds
128,Ancud,CL,-41.8697,-73.8203,54.19,98,100,13.76,light rain
129,Vila,PT,42.0304,-8.1588,49.08,89,100,10.74,overcast clouds
130,Vostok,RU,46.4856,135.8833,24.66,56,14,3.15,few clouds
131,Srednekolymsk,RU,67.45,153.6833,-30.06,97,15,2.53,few clouds
132,Aguimes,ES,27.9054,-15.4461,75.67,30,0,6.91,clear sky
133,Alice Springs,AU,-23.7,133.8833,74.75,29,40,10.36,scattered clouds
134,Pavlodar,KZ,52.3,76.95,39.0,81,100,15.66,light intensity shower rain
135,East London,ZA,-33.0153,27.9116,64.87,79,99,20.74,overcast clouds
